caso,t,sigma,criterio,ciclo,r_k,r_prev,q_k
cerca del cero (+0,15),1001.4994,0.5,angular,130,0.032924,0.032829,1.002913
cerca del cero (+0,15),1001.4994,0.5,angular,131,0.032744,0.032924,0.994510
cerca del cero (+0,15),1001.4994,0.5,angular,132,0.033118,0.032744,1.011419
cerca del cero (+0,15),1001.4994,0.5,angular,133,0.033221,0.033118,1.003129
cerca del cero (+0,15),1001.4994,0.5,angular,134,0.033035,0.033221,0.994387
cerca del cero (+0,15),1001.4994,0.5,angular,135,0.033416,0.033035,1.011540
cerca del cero (+0,15),1001.4994,0.5,angular,136,0.033240,0.033416,0.994732
cerca del cero (+0,15),1001.4994,0.5,angular,137,0.033612,0.033240,1.011200
cerca del cero (+0,15),1001.4994,0.5,angular,138,0.033436,0.033612,0.994761
cerca del cero (+0,15),1001.4994,0.5,angular,139,0.033818,0.033436,1.011425
cerca del cero (+0,15),1001.4994,0.5,angular,140,0.033628,0.033818,0.994363
cerca del cero (+0,15),1001.4994,0.5,angular,141,0.033745,0.033628,1.003500
cerca del cero (+0,15),1001.4994,0.5,angular,142,0.034121,0.033745,1.011130
cerca del cero (+0,15),1001.4994,0.5,angular,143,0.033930,0.034121,0.994416
cerca del cero (+0,15),1001.4994,0.5,angular,144,0.034039,0.033930,1.003212
cerca del cero (+0,15),1001.4994,0.5,angular,145,0.034148,0.034039,1.003185
cerca del cero (+0,15),1001.4994,0.5,angular,146,0.034254,0.034148,1.003117
cerca del cero (+0,15),1001.4994,0.5,angular,147,0.034646,0.034254,1.011426
cerca del cero (+0,15),1001.4994,0.5,angular,148,0.034445,0.034646,0.994219
cerca del cero (+0,15),1001.4994,0.5,angular,149,0.034551,0.034445,1.003065
cerca del cero (+0,15),1001.4994,0.5,angular,150,0.034436,0.034551,0.996677
cerca del cero (+0,15),1001.4994,0.5,angular,151,0.034769,0.034436,1.009660
cerca del cero (+0,15),1001.4994,0.5,angular,152,0.034874,0.034769,1.003028
cerca del cero (+0,15),1001.4994,0.5,angular,153,0.034981,0.034874,1.003073
cerca del cero (+0,15),1001.4994,0.5,angular,154,0.035089,0.034981,1.003090
cerca del cero (+0,15),1001.4994,0.5,angular,155,0.035196,0.035089,1.003045
cerca del cero (+0,15),1001.4994,0.5,angular,156,0.035059,0.035196,0.996113
cerca del cero (+0,15),1001.4994,0.5,angular,157,0.035414,0.035059,1.010123
cerca del cero (+0,15),1001.4994,0.5,angular,158,0.035287,0.035414,0.996398
cerca del cero (+0,15),1001.4994,0.5,angular,159,0.035629,0.035287,1.009702
cerca del cero (+0,15),1001.4994,0.5,angular,160,0.035506,0.035629,0.996559
cerca del cero (+0,15),1001.4994,0.5,angular,161,0.035850,0.035506,1.009677
cerca del cero (+0,15),1001.4994,0.5,angular,162,0.035719,0.035850,0.996344
cerca del cero (+0,15),1001.4994,0.5,angular,163,0.036079,0.035719,1.010094
cerca del cero (+0,15),1001.4994,0.5,angular,164,0.035932,0.036079,0.995913
cerca del cero (+0,15),1001.4994,0.5,angular,165,0.036050,0.035932,1.003286
cerca del cero (+0,15),1001.4994,0.5,angular,166,0.036168,0.036050,1.003279
cerca del cero (+0,15),1001.4994,0.5,angular,167,0.036285,0.036168,1.003222
cerca del cero (+0,15),1001.4994,0.5,angular,168,0.036641,0.036285,1.009820
cerca del cero (+0,15),1001.4994,0.5,angular,169,0.036495,0.036641,0.996023
control: medio del hueco,1001.8769,0.5,angular,1,0.080754,0.106167,0.760629
control: medio del hueco,1001.8769,0.5,angular,2,0.067676,0.080754,0.838051
control: medio del hueco,1001.8769,0.5,angular,3,0.060036,0.067676,0.887116
